X,Y
458268.7225145455,3640159.14083385
458268.9415142626,3640156.403312475
458266.7824667384,3640162.599481003
458270.4077137835,3640159.012346621
458272.8825690196,3640164.9026353587
458279.35675517505,3640165.07354284
458279.37831928895,3640161.433630553
458279.9129442707,3640153.5832290705
458282.6440529992,3640167.578993916
458286.5949139464,3640157.8916405933
458284.92546602915,3640154.1174764615
458286.0621663533,3640151.218338095
458286.0621663533,3640151.218338095
458285.38921716425,3640165.914916171
